Date,AAPL,AMZN,GOOG,META,MSFT
2022-01-04,-0.012691681883887918,-0.016915587005979504,-0.00453552851707506,-0.005937288695254117,-0.017147244552614738
2022-01-05,-0.02659983356446527,-0.018893091563845,-0.04682983111591976,-0.03672773718954081,-0.03838775412322104
2022-01-06,-0.016693359615621572,-0.006710981961323137,-0.0007446853322041758,0.02557293297947738,-0.007901914245241115
2022-01-07,0.0009884662847743364,-0.004287778294336242,-0.003973024919069701,-0.002015228681273573,0.0005098245011305735
2022-01-10,0.0001160597811433739,-0.006570176170610398,0.011455855601801845,-0.01121191453901016,0.0007322903153992311
2022-01-11,0.01678377822514121,0.024002125643924677,0.010416792837726785,0.019203181187918528,0.0022592317059666467
2022-01-12,0.0025702248806303007,-0.0009373300985386912,0.011644923975503207,-0.0033196320476467367,0.010445001290698475
2022-01-13,-0.019028051390756584,-0.024169655027437842,-0.017769388766162075,-0.02034447152559682,-0.04232256314279581
2022-01-14,0.005110679617197134,0.005731487003565627,0.004711403891758392,0.01660127030068992,0.017716681022945213
2022-01-18,-0.018894060539574986,-0.019862738846190164,-0.02500958405632192,-0.04142814176817511,-0.02433929570137283
2022-01-19,-0.021024926823594026,-0.016477101806013472,-0.004684875638355623,0.004526174662994986,0.002246897977812301
2022-01-20,-0.010346960065555355,-0.02963230963415675,-0.015816152121761684,-0.009480893688841752,-0.005703454181990142
2022-01-21,-0.01276519407349963,-0.05950180896147472,-0.0255755712166732,-0.04229840862435863,-0.018468004440839847
2022-01-24,-0.004864211682739428,0.01332698348311534,0.002152313666816452,0.018273502595810953,0.0011486242119052026
2022-01-25,-0.011384762518502622,-0.031533745543573244,-0.027893241373918465,-0.02772828154426399,-0.026588520767693913
2022-01-26,-0.0005632489623905723,-0.007954330670553511,0.019761700872439114,-0.01839076836888298,0.028493211097950777
2022-01-27,-0.002943250741419434,0.005508645722495764,-0.0009207930272390197,3.397401981852788e-05,0.010548932268875433
2022-01-28,0.06977766815351272,0.031084056738273746,0.03228369309935131,0.02399530428708574,0.028081714356100962
2022-01-31,0.026125724918703908,0.03886361030218932,0.01807341532210649,0.03828185554891239,0.008823725936260463
2022-02-01,-0.0009725681947598819,0.010830762802234384,0.016064972348902362,0.01832340565484092,-0.007138663795140832
2022-02-02,0.007044185204297282,-0.0038427158906232384,0.07367359801151063,0.012539184952978122,0.015222109193964828
2022-02-03,-0.01671974557091338,-0.0781276325178123,-0.0363829300371481,-0.2639009457992696,-0.03895226339986446
2022-02-04,-0.001679228953964551,0.13535901735711864,0.0025622696013785085,-0.0028179600623520207,0.01556847777651682
2022-02-07,-0.004234653632688823,0.0018777353189827206,-0.028514311302285766,-0.051372866269831285,-0.016310419409631294
2022-02-08,0.01846671648406062,0.022021627828944013,0.001979256139268859,-0.021030682981243443,0.011995291400999086
2022-02-09,0.008293681351729365,-0.0013877341505965646,0.01609049107778482,0.05368338503682257,0.02183488424558755
2022-02-10,-0.02359880464584374,-0.013561706274733853,-0.020151637536967693,-0.016939623602505338,-0.028373196944061596
2022-02-11,-0.020218449009180794,-0.03591110674363196,-0.032268455619245184,-0.037356969346474034,-0.02427408993226121
2022-02-14,0.0014232469802768488,0.012221683270054351,0.008722866818408948,-0.008426354260079427,-0.00013564726352577328
2022-02-15,0.023152365327073765,0.008658352201907249,0.008318577344070821,0.015158489196223535,0.018542335224836615
2022-02-16,-0.001388886421020974,0.010159039538768955,0.007784442121505641,-0.020181025854602685,-0.0011672113207473744
2022-02-17,-0.02126911685407673,-0.021808901106176726,-0.0376688843679307,-0.040777624669997126,-0.029282087099965937
2022-02-18,-0.009355718652688472,-0.013261957754408193,-0.01391447554310532,-0.007462341734421285,-0.009631030616734648
2022-02-22,-0.01781227943516317,-0.015753494788264932,-0.008162971248554696,-0.01979046254646799,-0.0007292981901653173
2022-02-23,-0.025864171781949552,-0.03575624663287669,-0.014045302871686483,-0.017963206897866568,-0.02589312921501452
2022-02-24,0.016680054749201645,0.04509522427819257,0.03988316325337693,0.04610737866456027,0.05109346511460666
2022-02-25,0.012965529081388594,0.01605793012842116,0.013913919555049059,0.013872781981458138,0.009233269563267088
